track_id,as_of_date,current_rank,rank_1d_ago,rank_3d_ago,rank_7d_ago,velocity_1d,velocity_3d,velocity_7d,acceleration,volatility_14d,days_tracked_so_far,n_sources_today,label
13,2026-08-14,21,17.0,13.0,,-4.0,-2.6666666666666665,,,4.0,3,1,
13,2026-08-15,26,21.0,13.0,,-5.0,-4.333333333333333,,,5.560275772537426,4,1,
13,2026-08-16,28,26.0,17.0,,-2.0,-3.6666666666666665,,,6.2048368229954285,5,1,
13,2026-08-18,47,28.0,26.0,13.0,-19.0,-7.0,-4.857142857142857,-2.1428571428571432,11.97775716345371,6,1,
15,2026-08-11,15,,,,,,,,,1,1,1.0
15,2026-08-13,9,15.0,,,6.0,,,,,2,2,1.0
15,2026-08-14,8,9.0,15.0,,1.0,2.3333333333333335,,,3.7859388972001824,3,2,1.0
15,2026-08-15,8,8.0,15.0,,0.0,2.3333333333333335,,,3.366501646120693,4,2,1.0
15,2026-08-16,8,8.0,9.0,,0.0,0.3333333333333333,,,3.0495901363953815,5,2,1.0
15,2026-08-18,10,8.0,8.0,15.0,-2.0,-0.6666666666666666,0.7142857142857143,-1.380952380952381,2.7325202042558927,6,2,1.0
15,2026-08-20,16,10.0,8.0,9.0,-6.0,-2.6666666666666665,-1.0,-1.6666666666666665,3.4572215654165053,7,2,1.0
15,2026-08-21,18,16.0,10.0,8.0,-2.0,-2.6666666666666665,-1.4285714285714286,-1.238095238095238,4.140393356054125,8,2,1.0
15,2026-08-22,18,18.0,10.0,8.0,0.0,-2.6666666666666665,-1.4285714285714286,-1.238095238095238,4.437842318564782,9,2,1.0
15,2026-08-23,11,18.0,16.0,8.0,7.0,1.6666666666666667,-0.42857142857142855,2.0952380952380953,4.201851443775179,10,2,1.0
15,2026-08-24,10,11.0,18.0,8.0,1.0,2.6666666666666665,-0.2857142857142857,2.952380952380952,4.036199832876104,11,2,
15,2026-08-25,9,10.0,18.0,10.0,1.0,3.0,0.14285714285714285,2.857142857142857,3.9389277113386476,12,2,1.0
15,2026-08-26,7,9.0,11.0,10.0,2.0,1.3333333333333333,0.42857142857142855,0.9047619047619047,4.0,13,2,1.0
15,2026-08-27,5,7.0,10.0,16.0,2.0,1.6666666666666667,1.5714285714285714,0.09523809523809534,4.175631381707134,14,2,
15,2026-08-28,6,5.0,9.0,18.0,-1.0,1.0,1.7142857142857142,-0.7142857142857142,4.3471181140424395,15,2,
15,2026-08-31,8,,6.0,10.0,,-0.6666666666666666,0.2857142857142857,-0.9523809523809523,4.627978156623238,16,2,
15,2026-09-14,10,,,,,,,,,17,2,
15,2026-09-15,8,10.0,,,2.0,,,,,18,2,
16,2026-08-11,16,,,,,,,,,1,1,1.0
